ConductorName,Temp_Coefficient_alpha,RES_25C,RES_50C
3/0 ACSR 6/1 PIGEON,0.009124884366327472,0.5405,0.6638
4/0 ACSR 6/1 PENGUIN,0.010802238805970145,0.4288,0.5446
336.4 ACSR 30/7 ORIOLE,0.00392909896602659,0.2708,0.2974
556.5 ACSR 26/7 DOVE,0.0038912386706948647,0.1655,0.1816
795 ACSR 26/7 DRAKE,0.0038421955403087483,0.1166,0.1278
954 ACSR 54/7 CARDINAL,0.004584178498985804,0.0986,0.1099
1272 ACSR 45/7 BITTERN,0.004362680683311433,0.0761,0.0844
1590 ACSR 54/19 FALCON,0.004241435562805872,0.0613,0.0678
